Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
30096,620389.334617,4847599.81729,620425.96736,4847473.55151,1.7056829,-1,3,0.90234798,0.94548404,131.47244,187521,7165.1514,70707,697749.38
30097,620245.711604,4847566.63727,620290.67651,4847342.99538,2.9198451,-1,3,0.86458987,0.92416179,228.11737,115071,7003.5645,70707,713847.88
30098,620245.711604,4847566.63727,620261.368251,4847576.7403,0.76149511,-1,1,0,0.85932857,18.633352,0,6512.2388,70707,767705.25
30099,620667.049414,4847656.01932,620801.016584,4847699.72096,3.0245335,-1,5,0.7776438,0.86425406,140.91499,37553,6549.5654,70707,763330
30100,617684.218634,4826934.5125,617729.229285,4826879.00022,1.6701025,-1,4,0.92250103,0.84308636,71.46727,273365,6389.1504,70707,782495.25
30101,616428.295729,4828862.67108,616428.440007,4828883.2553,1.6016695,-1,3,0.95654255,0.79315627,20.584719,459968,6010.7646,70707,831754.38
30102,616428.295729,4828862.67108,616527.63498,4828758.43793,0.85443616,-1,2,0.97594815,0.82744014,143.98903,575007,6270.5786,70707,797291.62
30103,616527.63498,4828758.43793,616565.731318,4828557.74189,0.83057857,-1,2,0.99175704,0.85494113,204.27979,690063,6478.9893,70707,771645
30104,616565.731318,4828557.74189,616668.861951,4828478.96483,1.2804408,-1,3,1.0063642,0.89294869,129.77577,805150,6767.0225,70707,738800.56
30105,617685.969754,4839030.3159,617725.030881,4839031.26651,2.2169008,-1,3,0,0.85308474,39.072693,0,6464.9214,70707,773324.19
30106,617725.030881,4839031.26651,617785.596834,4839056.25994,2.2504351,-1,3,0,0.84902531,65.520271,0,6434.1572,70707,777021.69
30107,619538.758692,4847765.26527,619617.554064,4847610.46044,1.9177016,-1,3,0.96419543,1.0982381,173.70448,373040,8322.7695,70707,600699.06
