row_id,Ref,area_name,Angular Connectivity,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
113,113,Trinity-Bellwoods,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,Chinatown,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,Kensington Market,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,Little Italy,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
127,127,Village of Islington,3.0382907,5,1.0897268,1.0422004,47.967003,2098676.0,7898.0991,70707,632997.88
127,127,The Kingsway,3.0382907,5,1.0897268,1.0422004,47.967003,2098676.0,7898.0991,70707,632997.88
128,128,Danforth Village,3.8996546,5,0.84297699,0.98682678,58.340691,81364.0,7478.46,70707,668517.31
128,128,Crossroads of the Danforth,3.8996546,5,0.84297699,0.98682678,58.340691,81364.0,7478.46,70707,668517.31
129,129,Village of Islington,3.0419936,5,1.0884403,1.0415943,48.229992,2064224.0,7893.5044,70707,633366.31
129,129,The Kingsway,3.0419936,5,1.0884403,1.0415943,48.229992,2064224.0,7893.5044,70707,633366.31
138,138,Mount Dennis,3.5633545,5,0.8695851,1.1264147,36.18803,103625.0,8536.3008,70707,585672.88
139,139,Mount Dennis,0.97022116,2,0.0,1.1237857,24.06675,0.0,8516.377,70707,587043.0
217,217,Shop The Queensway,2.0499396,4,0.84665698,0.85154963,44.918896,96846.0,6453.2876,70707,774718.31
218,218,Shop The Queensway,2.0352221,4,0.8341006,0.85010856,46.103321,81799.0,6442.3667,70707,776031.56
219,219,Shop The Queensway,2.0235035,4,0.96449125,0.93230939,90.199356,438607.0,7065.3101,70707,707609.44
220,220,Shop The Queensway,4.0327883,5,0.47389647,0.99447745,100.68649,573.0,7536.4385,70707,663374.31
221,221,Shop The Queensway,3.1188693,5,0.96251768,0.93178588,182.96712,427332.0,7061.3423,70707,708007.0
222,222,Shop The Queensway,2.9718385,4,0.81850654,0.90355939,129.88893,62983.0,6847.4336,70707,730124.62
223,223,Shop The Queensway,3.0412238,4,0.88813919,0.83386612,72.454132,173170.0,6319.2764,70707,791147.5
224,224,Shop The Queensway,3.9499769,4,0.36789897,0.89666337,271.73907,143.0,6795.1733,70707,735739.88
225,225,Shop The Queensway,1.9877651,4,0.94614589,0.9048655,143.04266,352400.0,6857.3315,70707,729070.75
226,226,Shop The Queensway,3.0086617,4,0.51974952,0.98971093,93.181213,1063.0,7500.3169,70707,666569.19
227,227,Shop The Queensway,2.9246705,5,0.89301777,0.99094164,99.297302,158604.0,7509.6431,70707,665741.31
228,228,Shop The Queensway,4.1851425,6,0.963539,0.93298733,97.518951,432714.0,7070.4473,70707,707095.25
229,229,Shop The Queensway,2.0399437,4,0.9594143,0.99252015,94.455009,385745.0,7521.606,70707,664682.5
230,230,Shop The Queensway,3.1039116,5,0.93410993,0.99094284,94.213974,275174.0,7509.6528,70707,665740.5
