bia,avg_local_nain,avg_local_nach,avg_citywide_nain,avg_citywide_nach,avg_blended_nain,avg_blended_nach,avg_segment_length,blended_nain_nach_pearson_r,blended_nain_nach_p_value,pct_citywide_matched,avg_blended_nain_rank,avg_blended_nach_rank,avg_segment_length_rank,blended_nain_nach_pearson_r_rank
The Beach,1.052413,0.876812,0.92644,0.842987,1.014958,0.859186,78.2311,0.277061,4.46E-24,97.04,57,18,30,84
The Eglinton Way,1.231555,0.903616,1.087338,0.922847,1.188455,0.883667,107.355,0.573466,2.54E-49,90.71,14,5,82,56
The Junction,0.972473,0.795548,1.003712,0.778844,0.980778,0.775766,74.9771,0.577887,1.18E-78,93.68,66,80,19,52
The Kingsway,1.176328,0.904014,0.972867,0.862523,1.117727,0.871737,93.8855,0.559283,2.36E-45,92.34,33,12,68,63
The Waterfront,0.739116,0.817313,0.808159,0.804131,0.760015,0.807069,79.3935,0.311092,5.70E-52,97.39,81,62,36,83
Toronto Downtown West,1.118829,0.881652,1.02302,0.844611,1.090348,0.862102,70.4935,0.509448,2.06E-129,96.67,40,15,10,75
Trinity-Bellwoods,1.214742,0.866101,1.049443,0.843449,1.16617,0.849119,65.9713,0.652439,1.65E-151,95.97,21,31,2,6
Upper Village,1.217994,0.911155,1.071767,0.905735,1.175396,0.888772,96.5088,0.553687,1.40E-47,92.36,17,3,70,65
Uptown Yonge,1.211434,0.863656,1.065929,0.888168,1.168586,0.850691,102.7842,0.614771,2.87E-61,92.37,20,29,76,28
Village of Islington,0.980825,0.853679,0.983884,0.837829,0.980086,0.830754,91.9697,0.599322,5.50E-66,92.77,68,46,61,41
West Queen West,1.240955,0.854901,1.051003,0.819377,1.185328,0.835876,65.1372,0.640962,6.79E-208,96.6,16,43,1,11
Weston Village,0.82579,0.793817,1.001457,0.799424,0.873342,0.778689,92.444,0.53432,1.12E-48,92.99,76,78,63,69
Wexford Heights,0.849144,0.760488,1.007517,0.800737,0.892875,0.751219,114.147,0.51582,2.43E-40,91.11,75,83,85,74
Wilson Village,0.619661,0.765102,0.932944,0.770844,0.706947,0.750844,99.7951,0.388027,1.04E-36,93.09,83,84,71,81
Wychwood Heights,1.106728,0.849083,1.025935,0.832144,1.082467,0.828419,80.7362,0.605424,4.33E-78,93.76,43,49,42,36
Yonge & St. Clair,0.955593,0.806388,1.025057,0.81198,0.973047,0.794433,87.8159,0.605038,4.95E-69,94.4,69,72,53,37
Yonge Lawrence Village,1.107339,0.872801,1.029584,0.849468,1.083734,0.848894,99.9624,0.532672,1.38E-46,93.37,42,33,73,70
Yonge North York,1.079029,0.839059,1.001271,0.8172,1.05706,0.821015,90.8071,0.524078,2.83E-88,95.32,48,54,60,71
York-Eglinton ,1.148284,0.881053,1.049639,0.858141,1.118987,0.860196,88.0964,0.615943,3.27E-76,94.57,32,17,54,27
