segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,nain,nach,integrated,length_penalty,NAIN_adjusted,NACH_adjusted
125,1175,150.31372,972,6285.4141,1.9667777,2,147.16179,0.611966224,0.808312248,1062.826844,0.994285298,0.60846902,0.803692984
126,205,131.81622,972,7167.4336,3.0387874,3,77.279045,0.536679085,0.60014005,702.9388337,0.997834213,0.535516753,0.598840274
127,206,120.73055,972,7825.5586,3.0544939,4,95.017136,0.491556214,0.594802159,644.403908,0.997042495,0.490102434,0.593043028
128,11537,134.72255,972,7012.8125,3.2239971,5,98.533607,0.548508612,1.056174774,1260.125739,0.996876022,0.546795083,1.052875308
129,2151,181.931,972,5193.0898,1.9493613,3,55.676662,0.740638799,0.896967789,1396.250836,0.998679992,0.739661149,0.895783784
130,1597,157.24962,972,6008.1797,1.8285825,2,64.430649,0.64019468,0.847740389,1160.051473,0.99835406,0.639140958,0.846345059
131,1224,140.04483,972,6746.2969,1.920935,3,61.930218,0.570171278,0.806457977,995.9305054,0.998449588,0.569287277,0.805207634
132,1203,136.19827,972,6936.8281,2.9352,3,87.261086,0.554515116,0.801964809,966.222513,0.997398746,0.553072681,0.799878695
133,622,121.44022,972,7779.8281,1.9509823,3,92.992744,0.494444881,0.718167397,781.6075167,0.997136943,0.493029257,0.716111243
134,30068,156.44223,972,6039.1875,3.0942717,5,97.69796,0.636908732,1.184313407,1613.12015,0.996915857,0.634944414,1.180660816
135,215024,259.45804,972,3641.375,3.2573781,5,216.4474,1.056077145,1.497207556,3185.759236,0.989791599,1.045296286,1.481923461
136,8755,211.30347,972,4471.2188,3.005707,5,150.937,0.860160265,1.079871575,1918.130209,0.99406332,0.855053768,1.073460723
137,4456,216.21878,972,4369.5742,3.9033446,5,77.458374,0.880160073,1.002281254,1816.76868,0.997826626,0.878247157,1.000102922
138,7333,211.30365,972,4471.2148,3.0057096,4,167.03983,0.860161034,1.058789571,1880.689688,0.993085438,0.854213397,1.051468505
139,220054,259.56775,972,3639.8359,1.8360997,4,56.258202,1.056523461,1.500104404,3193.108325,0.99865909,1.055106758,1.498092899
140,48,137.95999,972,6848.2461,2.2737117,3,206.3161,0.56168567,0.440640672,539.7026547,0.990501318,0.556350396,0.436455166
141,25,159.13901,972,5936.8477,1.7467146,2,56.411968,0.647884112,0.374949018,524.496216,0.998653545,0.647011765,0.374444166
142,590,174.16565,972,5424.6289,0.7812205,2,34.22258,0.709037809,0.742135691,1111.787582,0.999368667,0.708590171,0.741667156
143,1178,180.28656,972,5240.457,1.2781844,3,163.21951,0.733946901,0.825760614,1275.215465,0.993321911,0.729045538,0.820246111
144,219706,259.38623,972,3642.3828,2.065268,4,146.07732,1.055785102,1.499783585,3190.46481,0.994348541,1.049818376,1.491307619
145,41779,178.76311,972,5285.1172,1.9214525,3,43.434956,0.727747262,1.241094488,1902.074701,0.999093528,0.72708758,1.23996947
146,40303,157.01891,972,6017.0078,2.8048251,4,215.35747,0.639255704,1.21847596,1665.064763,0.989868766,0.632779255,1.206131296
147,12554,206.35371,972,4578.4688,2.2141922,3,76.780327,0.840019927,1.119587932,1947.556806,0.997855265,0.838218307,1.117186712
148,10998,197.65889,972,4779.8711,1.6391373,3,73.179543,0.804640064,1.098286719,1839.344559,0.998005208,0.803034974,1.096095865
149,214654,259.3537,972,3642.8398,2.0840006,4,88.589546,1.055652725,1.496924204,3184.031436,0.997338813,1.052843436,1.492940609
150,254501,273.20609,972,3458.1367,2.1569748,4,53.637775,1.112003774,1.527368489,3400.614754,0.998752402,1.11061644,1.525462947
151,5849,214.13905,972,4412.0117,2.5131128,4,138.02151,0.871697977,1.03353259,1857.520894,0.994810911,0.867174658,1.028169498
152,671,206.83565,972,4567.8008,4.0067062,4,246.41599,0.841980917,0.772506892,1346.861078,0.98759506,0.831536194,0.762923991
153,2734,197.52136,972,4783.1992,2.9711776,4,17.963512,0.804080438,0.933958139,1563.233873,0.999764163,0.803890806,0.933737877
154,564,174.33148,972,5419.4688,2.0492485,3,54.434628,0.709712665,0.736985328,1105.016487,0.998724264,0.708807259,0.73604513
155,752,178.03203,972,5306.8203,2.5517516,3,105.92373,0.724772143,0.772277404,1179.532053,0.996516418,0.72224734,0.769587112
156,0,180.99594,972,5219.918,1.3599532,2,17.069183,0.736833682,0,125.4568255,0.999781987,0.736673043,0
157,0,208.0358,972,4541.4492,1.6032174,2,66.795914,0.846864331,0,144.1994282,0.998261962,0.845392448,0
158,75,174.66661,972,5409.0703,2.8952682,4,158.36031,0.711076525,0.503785294,758.7177675,0.993618697,0.706538931,0.500570487
159,0,157.56874,972,5996.0117,2.1570559,2,62.929562,0.641493425,0,109.2183279,0.998411637,0.6404745,0
160,7902,191.85333,972,4924.5117,2.1780157,4,83.947388,0.781016123,1.055560521,1721.907472,0.997546242,0.779099699,1.052970432
161,32156,156.90697,972,6021.3008,2.1138389,4,105.45718,0.638800086,1.192430381,1628.445891,0.996539504,0.636589521,1.188303981
162,35432,156.91714,972,6020.9102,1.998982,4,112.52753,0.638841513,1.20358576,1643.774059,0.996184209,0.636403828,1.198993128
163,947,137.76974,972,6857.7031,3.90207,5,93.455391,0.560911312,0.775944292,944.4678878,0.997115449,0.559293335,0.773706041
164,608,135.88484,972,6952.8281,2.9557183,3,97.813263,0.553239421,0.72471746,871.4918442,0.996910371,0.551530116,0.722478352
165,0,119.89312,972,7880.2188,1.9160386,2,204.91026,0.488147458,0,83.1035781,0.990598446,0.483558113,0
166,20,134.29453,972,7035.1641,2.9314606,3,100.22048,0.546766427,0.343660364,415.1100935,0.996795093,0.545014091,0.342558965
167,38125,157.0135,972,6017.2148,2.9970856,5,93.105789,0.63923372,1.212087711,1656.284849,0.997131696,0.637400203,1.208611076
168,71,151.94243,972,6218.0391,2.0321593,3,113.81547,0.618594997,0.489562362,651.9028333,0.996118251,0.616193766,0.487662003
169,63,137.56506,972,6867.9062,3.0348916,4,98.439995,0.560078254,0.470725404,574.2498352,0.996880493,0.558331086,0.469256973
170,4788,164.52049,972,5742.6523,2.8331096,3,98.504036,0.669785544,0.978960531,1394.193634,0.996877435,0.667694095,0.975903663
171,3196,142.5952,972,6625.6367,1.4631968,2,194.49826,0.580551597,0.917129959,1150.783318,0.991307349,0.575505064,0.909157669
172,1600,132.04506,972,7155.0117,1.0236598,2,17.577734,0.53761056,0.831274683,974.361571,0.999771909,0.537487936,0.831085076
173,0,124.03172,972,7617.2773,0.4762744,1,56.864758,0.504993442,0,85.97223702,0.998637173,0.504305223,0
174,0,188.33221,972,5016.582,1.1020452,2,56.667358,0.766687695,0,130.5419404,0.998644319,0.765648311,0
175,106,151.08745,972,6253.2266,1.9553089,3,110.88529,0.615115217,0.534567108,707.4112677,0.996267762,0.612819461,0.532571976
176,82,162.55463,972,5812.1016,2.949693,3,90.536949,0.661784973,0.509775237,720.2497853,0.997250139,0.659965156,0.508373426
177,3196,191.36909,972,4936.9727,2.0626249,4,109.93422,0.779045624,0.948837032,1544.402311,0.996315868,0.776175517,0.945341391
178,47171,207.7506,972,4547.6836,2.7238257,4,50.36898,0.845703879,1.277634328,2235.724073,0.998865611,0.844744522,1.276184994
179,47862,208.20682,972,4537.7188,3.0263975,4,69.356308,0.847560221,1.279693863,2243.661455,0.998160399,0.846001048,1.277339737
180,3022,176.33224,972,5357.9766,2.0602832,3,55.300758,0.717854826,0.933282518,1413.185773,0.998693444,0.716916908,0.932063132
181,1789,152.48596,972,6195.875,1.8971024,3,108.15887,0.620807142,0.857749119,1142.200567,0.996405108,0.618575408,0.854665604
182,171,133.65385,972,7068.8867,3.9241877,4,94.54483,0.544158778,0.580726835,688.7572618,0.997064622,0.542561466,0.579022182
183,192461,259.60117,972,3639.3672,1.8590144,4,150.75204,1.056659451,1.483789841,3158.738566,0.994074261,1.050397963,1.474997289
184,712,174.33022,972,5419.5078,4.0861311,4,263.03189,0.709707559,0.764043005,1145.503472,0.986317107,0.699996707,0.753588686
185,0,169.75368,972,5565.6172,0.98041749,2,54.745422,0.691082905,0,117.6642847,0.998713233,0.690193642,0
186,1367,174.24959,972,5422.0156,2.7317452,3,95.999657,0.709379425,0.839782901,1258.401932,0.996996288,0.707248653,0.837260435
187,762,152.06805,972,6212.9023,1.9316003,3,115.45019,0.619106284,0.75985801,1009.514058,0.996033993,0.616650904,0.756844408
188,190520,259.57053,972,3639.7969,2.034863,4,72.384155,1.056534775,1.482532438,3155.734676,0.998037838,1.054461683,1.47962347
189,14678,194.63826,972,4854.0508,2.2394979,4,138.50029,0.792348603,1.130297143,1867.406433,0.9947838,0.788215554,1.124401287
190,6382,188.1179,972,5022.2969,1.8028433,3,32.303741,0.765815624,1.028062302,1648.204413,0.999421689,0.765372745,1.027467762
191,4812,162.97612,972,5797.0703,2.840766,4,84.942627,0.663500332,0.978472477,1381.920744,0.997502245,0.661843071,0.976028493
192,0,138.60164,972,6816.543,2.0284367,3,46.392696,0.564297251,0,96.07133599,0.998998394,0.563732047,0
193,0,140.81592,972,6709.3555,1.9817939,3,155.38342,0.573309679,0,97.60615793,0.993798284,0.569754175,0
194,93,162.46138,972,5815.4375,4.0143833,5,96.301033,0.661405484,0.524098096,739.8291242,0.996982067,0.659409407,0.522516403
195,0,171.70769,972,5502.2812,0.94955701,2,43.148602,0.699034974,0,119.0187012,0.999102569,0.698407639,0
196,36,146.19553,972,6462.4688,2.9839346,4,145.03308,0.595205142,0.411536691,531.7988365,0.994409215,0.591877478,0.409235878
197,5282,145.67776,972,6485.4375,2.9481754,4,68.988686,0.593097824,0.976585458,1248.813663,0.998175099,0.59201548,0.974803286
198,3731,145.18875,972,6507.2812,1.997117,4,57.248993,0.59110752,0.936632544,1194.172747,0.998623228,0.5902937,0.935343015
199,2172,144.90431,972,6520.0547,2.0541093,4,87.231979,0.589949831,0.874846658,1113.491677,0.997400054,0.588415993,0.872572104
200,8423,171.67076,972,5503.4648,2.0796721,4,116.81114,0.698884691,1.049358932,1551.724919,0.995963387,0.696063565,1.045123077
201,11116,194.49083,972,4857.7305,1.9938806,4,95.91893,0.791748651,1.097454611,1811.938945,0.997000093,0.789373479,1.094162349
202,0,162.65553,972,5808.4961,1.9173939,2,48.537182,0.66219562,0,112.744222,0.998927466,0.661485393,0
203,13222,194.4852,972,4857.8711,2.0289216,4,104.51676,0.791725745,1.117887062,1845.623442,0.996585884,0.789022701,1.114070465
204,98,169.38858,972,5577.6133,4.0302129,5,106.00562,0.689597085,0.532640676,780.0632385,0.99651236,0.687192019,0.530783017
205,0,204.11626,972,4628.6562,1.9621725,3,248.02974,0.830915728,0,141.4826101,0.987472783,0.820506667,0
206,3798,204.09766,972,4629.0781,2.9665508,5,89.431007,0.83084003,0.976510681,1682.327282,0.997300617,0.828597274,0.973874704
207,0,169.1442,972,5585.6719,2.0398862,3,109.96199,0.688602541,0,117.2418253,0.996314467,0.686064673,0
208,953,206.69194,972,4570.9766,2.9036691,3,68.393471,0.841396186,0.814018881,1418.260429,0.998198817,0.839880677,0.812552684
209,481,175.03027,972,5397.832,2.9059436,4,68.803375,0.71255644,0.718841343,1081.689983,0.998182494,0.711261365,0.717534844
210,2228,171.55156,972,5507.2891,3.1309528,5,104.67361,0.698399557,0.89493558,1322.620817,0.996578163,0.696009747,0.891873256
211,18166,200.61655,972,4709.4023,2.193018,4,54.641182,0.816675126,1.159543204,1967.53018,0.998716936,0.81562728,1.158055437
